country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,cluster,hierarchical_cluster,PC1,PC2
China,East Asia,5.973,1.497,1.239,0.629,0.704,0.132,0.164,0,1,0.8157524525475084,-0.17716579964814264
Honduras,Latin America and Caribbean,5.968,1.091,1.035,0.502,0.72,0.175,0.081,0,0,-0.58011038912817,0.6120090242527663
Bahrain,,5.959,1.433,1.239,0.55,0.641,0.1365,0.1205,0,1,0.21746981815310334,-0.24991152556026497
Croatia,Central and Eastern Europe,5.942,1.71,1.445,0.637,0.469,0.064,0.043,0,1,0.4994800331775254,-2.028685892094439
Greece,Western Europe,5.934,1.684,1.276,0.696,0.337,0.018,0.093,0,0,0.18638061221707541,-2.7255565883851904
Bosnia and Herzegovina,Central and Eastern Europe,5.877,1.465,1.318,0.587,0.621,0.246,0.0,0,1,0.2250898011524626,0.5235992939313315
Libya,,5.866,1.526,1.1,0.55,0.592,0.111,0.204,0,1,0.21462620187470005,-0.4328261597697316
Jamaica,Latin America and Caribbean,5.842,1.28,1.324,0.567,0.647,0.089,0.028,0,1,-0.0730584454304244,-0.9768705563227167
Peru,Latin America and Caribbean,5.841,1.371,1.18,0.662,0.615,0.078,0.029,0,1,0.05228922775738149,-1.285621485764319
Dominican Republic,Latin America and Caribbean,5.823,1.517,1.272,0.511,0.73,0.086,0.196,0,1,0.6158656353389232,-0.4193197397149415
Mauritius,Sub-Saharan Africa,5.816,1.57,1.358,0.49,0.641,0.123,0.118,0,1,0.3633313682644993,-0.4557114544266562
Moldova,Central and Eastern Europe,5.816,1.385,1.277,0.542,0.695,0.077,0.044,0,1,0.05504130074489214,-0.9585493911389472
Russia,Central and Eastern Europe,5.785,1.642,1.351,0.531,0.551,0.138,0.121,0,1,0.39059962264606585,-0.5876172841033476
Bolivia,Latin America and Caribbean,5.784,1.217,1.179,0.488,0.719,0.1,0.061,0,1,-0.3650232862185667,-0.3944769263095106
Ecuador,Latin America and Caribbean,5.725,1.315,1.151,0.64,0.606,0.087,0.078,0,1,-0.017189900317670932,-1.010970453353736
Kyrgyzstan,Commonwealth of Independent States,5.714,1.054,1.477,0.588,0.834,0.225,0.03,0,1,0.49434012433958147,1.0309012441796641
Montenegro,Central and Eastern Europe,5.707,1.571,1.318,0.587,0.632,0.11,0.132,0,1,0.6230371503063596,-0.6980971059990052
Mongolia,East Asia,5.696,1.353,1.511,0.4,0.501,0.237,0.055,0,1,-0.37198968061380655,0.4928136665205736
Colombia,Latin America and Caribbean,5.695,1.437,1.241,0.648,0.644,0.072,0.059,0,1,0.32810510202115956,-1.2516703935616798
Venezuela,Latin America and Caribbean,5.607,1.433,1.321,0.491,0.518,0.192,0.086,0,1,-0.17906355929338677,0.028822853609198056
Indonesia,Southeast Asia,5.568,1.361,1.184,0.472,0.779,0.399,0.055,0,1,0.16422338480099005,3.024151412637146
Bulgaria,Central and Eastern Europe,5.463,1.629,1.469,0.567,0.62,0.083,0.006,0,1,0.47312673781591535,-1.4187762984132477
Armenia,Central and Eastern Europe,5.455,1.444,1.154,0.603,0.65,0.051,0.173,0,1,0.3608446182859623,-1.091500706060745
South Africa,Sub-Saharan Africa,5.422,1.389,1.369,0.322,0.537,0.078,0.034,0,0,-0.9059070635849646,-1.1080723353982433
North Macedonia,Central and Eastern Europe,5.369,1.475,1.277,0.569,0.58,0.194,0.015,0,1,0.016591758463867252,-0.08370207602779138
Algeria,Middle East and North Africa,5.364,1.324,1.191,0.568,0.247,0.091,0.2,0,0,-0.6825390796087363,-1.4543162493905208
Hong Kong S.A.R. of China,East Asia,5.316,1.909,1.184,0.857,0.485,0.147,0.402,2,2,2.147279050731741,-0.4385292483773108
Albania,Central and Eastern Europe,5.304,1.438,0.924,0.638,0.69,0.138,0.049,0,1,-0.046375180428028386,-0.2740154265446196
Tajikistan,Commonwealth of Independent States,5.281,1.433,1.239,0.55,0.641,0.1365,0.1205,0,1,0.21746981815310334,-0.24991152556026497
Congo (Brazzaville),Sub-Saharan Africa,5.221,0.892,0.622,0.306,0.523,0.124,0.138,1,0,-2.4509211064606173,0.2566964734361472
Mozambique,Sub-Saharan Africa,5.216,0.56,0.883,0.156,0.728,0.158,0.196,1,0,-2.3080143584291175,1.54142770596076
Georgia,Central and Eastern Europe,5.185,1.467,0.99,0.524,0.68,0.0,0.174,0,1,-0.08655259087522185,-1.4239267978845074
Iraq,Middle East and North Africa,5.166,1.249,0.996,0.498,0.425,0.141,0.048,1,1,-1.2524669885446569,-0.6281927512938454
Nepal,South Asia,5.158,0.965,0.99,0.443,0.653,0.209,0.115,1,0,-1.0378458627131237,1.0824965855721276
Laos,Southeast Asia,5.139,1.208,0.846,0.423,0.796,0.17,0.167,1,0,-0.5677612361106348,1.0797926999680232
Gabon,Sub-Saharan Africa,5.106,1.403,1.038,0.344,0.516,0.045,0.1,1,0,-1.2202253013065083,-1.2524901092751435
Ivory Coast,Sub-Saharan Africa,5.08,1.08,0.578,0.288,0.547,0.12,0.164,1,0,-2.209853727085153,0.2760860323400964
Guinea,Sub-Saharan Africa,5.023,0.831,0.622,0.236,0.521,0.21,0.107,1,0,-2.7689419622438227,1.2620449874458766
Turkiye,Middle East and North Africa,4.975,1.702,1.175,0.631,0.202,0.068,0.115,0,0,-0.36539012940507914,-2.3162129921856645
Senegal,Sub-Saharan Africa,4.969,0.927,0.751,0.392,0.607,0.152,0.069,1,0,-1.8961271820994932,0.41042664079090047
Iran,Middle East and North Africa,4.923,1.435,1.136,0.571,0.366,0.235,0.123,0,1,-0.4153418476235687,0.21178667596684328
Azerbaijan,,4.893,1.433,0.876,0.496,0.668,0.112,0.199,0,1,-0.2568874543745791,-0.030077402500272018
Nigeria,Sub-Saharan Africa,4.881,1.042,1.075,0.256,0.566,0.201,0.019,1,0,-1.8813277734818072,0.7071341509398726
State of Palestine,Middle East and North Africa,4.879,1.433,1.239,0.55,0.641,0.1365,0.1205,0,1,0.21746981815310334,-0.24991152556026497
Cameroon,Sub-Saharan Africa,4.874,0.943,0.856,0.288,0.521,0.126,0.06,1,0,-2.2996904421916535,-0.02964572035790864
Ukraine,Central and Eastern Europe,4.873,1.35,1.315,0.513,0.631,0.285,0.025,0,1,-0.04360650112821423,1.208631483766023
Namibia,Sub-Saharan Africa,4.832,1.266,1.212,0.307,0.47,0.069,0.061,1,0,-1.4441113109926842,-1.146729454655258
Morocco,Middle East and North Africa,4.795,1.213,0.471,0.495,0.631,0.042,0.082,1,1,-1.622886824219574,-0.8980757413187143
Pakistan,South Asia,4.657,1.069,0.6,0.321,0.542,0.144,0.074,1,0,-2.3160089150217487,0.25902203055651823
Niger,Sub-Saharan Africa,4.556,0.573,0.677,0.293,0.615,0.145,0.147,1,0,-2.566721886382107,0.903312616000479
Burkina Faso,Sub-Saharan Africa,4.548,0.756,0.685,0.274,0.483,0.173,0.179,1,0,-2.575289950576204,0.9003062481089747
Mauritania,Sub-Saharan Africa,4.505,1.078,0.705,0.4,0.343,0.133,0.198,1,0,-2.0291357640968526,-0.1877577811528911
Gambia,Sub-Saharan Africa,4.485,0.75,0.684,0.33,0.459,0.324,0.048,1,0,-2.6780606600665275,2.1335064614021766
Chad,Sub-Saharan Africa,4.471,0.603,0.805,0.199,0.411,0.218,0.113,1,0,-3.1395471226100837,1.1928988729131145
Kenya,Sub-Saharan Africa,4.47,1.037,0.895,0.353,0.519,0.282,0.069,1,0,-1.751310161355,1.5813557797242577
Tunisia,Middle East and North Africa,4.422,1.306,0.955,0.579,0.254,0.024,0.018,1,0,-1.5600867174744089,-2.546499547318877
Benin,Sub-Saharan Africa,4.377,0.914,0.128,0.284,0.567,0.112,0.252,1,0,-2.8463303324617693,0.7508281781929637
Uganda,Sub-Saharan Africa,4.372,0.772,1.151,0.373,0.587,0.178,0.054,1,0,-1.614985311710399,0.5481949015588404
Myanmar,Southeast Asia,4.354,0.978,0.988,0.436,0.45,0.401,0.174,1,0,-1.1920347642472304,2.8937143337628837
Cambodia,Southeast Asia,4.341,1.011,1.019,0.442,0.863,0.17,0.071,0,0,-0.6008283038233783,1.0058064704954202
Ghana,Sub-Saharan Africa,4.289,1.077,0.747,0.36,0.623,0.183,0.028,1,0,-1.8566231753961764,0.6551140432941944
Liberia,Sub-Saharan Africa,4.269,0.619,0.673,0.301,0.546,0.178,0.075,1,0,-2.8120782965977282,0.8910204952591853
Mali,Sub-Saharan Africa,4.232,0.747,0.688,0.267,0.586,0.12,0.09,1,0,-2.6508045785728673,0.34428018102072117
Madagascar,Sub-Saharan Africa,4.228,0.628,0.823,0.333,0.25,0.172,0.123,1,0,-3.0343992131545137,0.1163274903616126
Togo,Sub-Saharan Africa,4.214,0.758,0.586,0.32,0.453,0.127,0.156,1,0,-2.7462573659610707,0.23695863264522707
Jordan,Middle East and North Africa,4.186,1.262,0.983,0.594,0.593,0.059,0.189,0,1,-0.2470977979462603,-0.9128981646993594
India,South Asia,4.054,1.166,0.653,0.417,0.767,0.174,0.122,1,0,-1.1197662080020656,1.0571698746400073
Egypt,Middle East and North Africa,3.977,1.37,0.996,0.488,0.49,0.025,0.259,0,1,-0.5120523984335634,-1.2915092946048226
